term,var_type_abb,coverage,avg_width,std.error.avg_width,std.error.coverage,B
(Intercept),emp,0.9348,9.961712321889507,0.01942365245421887,0.0034917374537741545,32
(Intercept),sub,0.9246,9.597902900935779,0.01986419907221601,0.003734401846538517,32
(Intercept),emp,0.9408,10.022230652963593,0.019169650703637887,0.003337858633922655,34
(Intercept),sub,0.9314,9.610671650688028,0.01921262871339757,0.0035751033933097056,34
(Intercept),emp,0.9464,9.980904329044767,0.018727905132369806,0.003185504275228256,36
(Intercept),sub,0.9356,9.63014400028843,0.018600670689293147,0.0034717342334512793,36
(Intercept),emp,0.9344,9.978257021314445,0.018420151689751422,0.003501682503607546,38
(Intercept),sub,0.927,9.611255900877566,0.018415198602846974,0.003679253644623634,38
(Intercept),emp,0.9432,9.98933473568432,0.017652536309131193,0.00327366696215052,40
(Intercept),sub,0.933,9.62323747715751,0.018328144779088486,0.003536198656776516,40
(Intercept),emp,0.9404,9.988976673427171,0.01756871780629697,0.003348404151543301,42
(Intercept),sub,0.9328,9.61771029993604,0.01760933987550279,0.003541093032945279,42
(Intercept),emp,0.9404,10.001747118861546,0.016957243447446733,0.003348404151543301,44
(Intercept),sub,0.9278,9.600769638498239,0.017439428959929733,0.003660616344607077,44
(Intercept),emp,0.9412,9.991576174441642,0.016744296428457643,0.0033272700739839325,46
(Intercept),sub,0.9296,9.650527591671114,0.016843655455051235,0.003618202078001649,46
(Intercept),emp,0.9422,10.009468483234542,0.01639164133020641,0.0033006076413533967,48
(Intercept),sub,0.9306,9.635191824190647,0.016826496832532015,0.0035943444273431107,48
(Intercept),emp,0.9412,10.002468639392982,0.01595295253064814,0.0033272700739839325,50
(Intercept),sub,0.9292,9.610551538767215,0.016027735210306232,0.003627685766546513,50
(Intercept),emp,0.9414,10.006233373060084,0.015090102052193308,0.0033219595245903588,60
(Intercept),sub,0.9288,9.612543028763847,0.01512550584983125,0.00363713592701047,60
(Intercept),emp,0.9478,10.030959589278051,0.01424406472894192,0.0031459515893097366,70
(Intercept),sub,0.9368,9.658360112468419,0.014536593158482172,0.003441441660720232,70
(Intercept),emp,0.9436,10.013231554649444,0.013225553073203803,0.003262811239933669,80
(Intercept),sub,0.9334,9.67059188585241,0.01362543774798262,0.0035263827181709877,80
(Intercept),emp,0.943,10.039350385071069,0.013296876049664343,0.003279077685888826,90
(Intercept),sub,0.9366,9.649882377907716,0.013202434019121854,0.0034465147167448084,90
(Intercept),emp,0.9478,10.01426658288813,0.012431443272523606,0.0031459515893097366,100
(Intercept),sub,0.9388,9.659481085710949,0.012761066724760895,0.003390163807565709,100
x,emp,0.8538,1.6772766790771698,0.01010273255917822,0.0049970097079357605,4
x,sub,0.8394,1.5980301631633453,0.009826998167048248,0.005192968455929312,4
x,emp,0.8968,1.7257323359651462,0.00798820785560566,0.004302749670959977,6
x,sub,0.8922,1.6649037968985496,0.007829014735778378,0.00438630595558349,6
x,emp,0.9062,1.7607590322696833,0.0069798441410023546,0.004123555837205132,8
x,sub,0.8972,1.6892350325226897,0.0067109662131671225,0.004295360523216285,8
x,emp,0.909,1.7665816747057175,0.006129428299477834,0.004067813838154884,10
x,sub,0.9102,1.7088380727525292,0.006009819048533047,0.0040435704633922835,10
x,emp,0.9228,1.7839637190057438,0.005578364164507912,0.003775034062950331,12
x,sub,0.918,1.712964495165515,0.00549517564229423,0.0038804911599343277,12
x,emp,0.9334,1.7948439350705379,0.005149935813241148,0.0035263827181709877,14
x,sub,0.9188,1.710975417866752,0.005082040290664898,0.003863197750487525,14
x,emp,0.9296,1.7856345201403332,0.0047844852204920315,0.003618202078001649,16
x,sub,0.9208,1.728206772710949,0.004748112625146191,0.0038194750526656914,16
x,emp,0.932,1.785747330165425,0.004504555417258844,0.0035605807878925345,18
x,sub,0.9186,1.7205054376019548,0.004515122929904442,0.0038675314555814515,18
x,emp,0.9352,1.7961749635403184,0.004266073964275124,0.0034817548051671674,20
x,sub,0.926,1.7331083652315664,0.0042791595931591375,0.00370236971523667,20
x,emp,0.9392,1.793563941023836,0.0041249176195914785,0.003379786471260909,22
x,sub,0.928,1.7281477088317008,0.004125539628708028,0.0036559367027664638,22
x,emp,0.9312,1.7975912289844616,0.003920537389165061,0.0035799266996734734,24
x,sub,0.9244,1.7335219864958058,0.003944312969215515,0.0037389469031786156,24
x,emp,0.9334,1.7997902827464032,0.0038319681770618464,0.0035263827181709877,26
x,sub,0.9264,1.738667600243605,0.0037534879183565685,0.003693147149407052,26
x,emp,0.9448,1.8069106733543772,0.0037160032200440076,0.0032299657174197902,28
x,sub,0.9354,1.7456756445868065,0.003602432349613631,0.003476749280162638,28
x,emp,0.9402,1.7973873362136936,0.003564246734142355,0.003353660896435663,30
x,sub,0.931,1.7413139433281128,0.003508314805036235,0.0035847412841117,30
x,emp,0.94,1.8054280362973898,0.003413530670649161,0.0033589070322487726,32
x,sub,0.9268,1.737061365429864,0.003449462747707428,0.0036838928069696394,32
x,emp,0.9394,1.8088687845217926,0.003348451620310148,0.0033745822794995265,34
x,sub,0.933,1.7388747285360557,0.003306632235187268,0.003536198656776516,34
x,emp,0.9454,1.8050723264128998,0.003285402767776427,0.0032133834453163734,36
x,sub,0.9332,1.7457356188393525,0.0032213148598752967,0.0035312952311017326,36
x,emp,0.9434,1.804514405982088,0.003221755592739144,0.0032682448324531884,38
x,sub,0.932,1.74297471985238,0.003163379943972133,0.0035605807878925345,38
x,emp,0.9442,1.8073243340483043,0.0030742623377157216,0.003246441109272613,40
x,sub,0.9328,1.7448903113570273,0.003123149710379976,0.003541093032945279,40
x,emp,0.9382,1.8070915793537612,0.003058945323087832,0.003405652902798356,42
x,sub,0.9308,1.7456847616886046,0.0030096449180084615,0.003589547181719995,42
x,emp,0.9446,1.808581141961436,0.0029606164514025366,0.003235469309440358,44
x,sub,0.9304,1.7414686107080843,0.0030102579338955994,0.0035991330555774606,44
x,emp,0.944,1.8083842951720566,0.002905790165215772,0.003251909436469072,46
x,sub,0.9354,1.7498100657526525,0.002890877039567021,0.0034767492801626378,46
x,emp,0.942,1.8090227081918961,0.0028807630964716715,0.003305962171165217,48
x,sub,0.9322,1.7451721757387562,0.0028629392081302124,0.0035557222377635774,48
x,emp,0.9436,1.8080966954673385,0.0027581043800000427,0.003262811239933669,50
